question_id;answer_id;answer_title
TE1;1️⃣;La pollution de l'air
TE1;2️⃣;Les dérèglements climatiques (crue, sécheresse)
TE1;3️⃣;L’érosion du littoral
TE1;4️⃣;La biodiversité et la disparition de certaines espèces
TE1;5️⃣;Autres
TE1;🤷‍♂️;Je passe
TE2;1️⃣;Oui
TE2;2️⃣;Plutôt oui
TE2;3️⃣;Plutôt non
TE2;4️⃣;Non
TE2;🤷‍♂️;Je passe
TE3;1️⃣;Oui
TE3;2️⃣;Plutôt oui
TE3;3️⃣;Plutôt non
TE3;4️⃣;Non
TE3;🤷‍♂️;Je passe
TE4;1️⃣;Oui
TE4;2️⃣;Plutôt oui
TE4;3️⃣;Plutôt non
TE4;4️⃣;Non
TE4;🤷‍♂️;Je passe
TE5;1️⃣;Oui
TE5;2️⃣;Non
TE5;🤷‍♂️;Je passe
TE6;1️⃣;Pas besoin d'utiliser des solutions de mobilité alternatives
TE6;2️⃣;Les transports en commun
TE6;3️⃣;Le covoiturage
TE6;4️⃣;L’auto partage
TE6;5️⃣;Le transport à la demande
TE6;6️⃣;Le vélo
TE6;7️⃣;Autres
TE6;🤷‍♂️;Je passe
TE7;1️⃣;Oui
TE7;2️⃣;Plutôt oui
TE7;3️⃣;Plutôt non
TE7;4️⃣;Non
TE7;🤷‍♂️;Je passe
TE8;1️⃣;À baisser d’autres impôts comme par exemple l’impôt sur le revenu
TE8;2️⃣;À financer des investissements en faveur du climat
TE8;3️⃣;À financer des aides pour accompagner les Français dans la transition écologique
TE8;🤷‍♂️;Je passe
TE9;1️⃣;Par le budget général de l’État
TE9;2️⃣;Par la fiscalité écologique
TE9;3️⃣;Les deux
TE9;🤷‍♂️;Je passe
TE10;1️⃣;Cofinancer un plan d’investissement pour changer les modes de production
TE10;2️⃣;Modifier les accords commerciaux
TE10;3️⃣;Taxer les produits importés qui dégradent l’environnement
TE10;🤷‍♂️;Je passe
TE11;;
TE12;;
TE13;;
FI1;1️⃣;Oui
FI1;2️⃣;Plutôt oui
FI1;3️⃣;Plutôt non
FI1;4️⃣;Non
FI1;🤷‍♂️;Je passe
FI2;1️⃣;Réduire la dépense publique
FI2;2️⃣;Augmenter les impôts
FI2;3️⃣;Faire les deux en même temps
FI2;4️⃣;Réduire le déficit public n'est pas une priorité
FI2;🤷‍♂️;Je passe
FI3;1️⃣;TVA
FI3;2️⃣;CSG
FI3;3️⃣;Impôt sur le Revenu
FI3;4️⃣;Impôt sur les Sociétés
FI3;5️⃣;Taxe Foncière
FI3;6️⃣;Taxe d'Habitation
FI3;7️⃣;Droits de donation et succession
FI3;8️⃣;Impôt sur la Fortune Immobilière
FI3;9️⃣;Autre
FI3;🔟;Il ne faut pas baisser les impôts
FI3;🤷‍♂️;Je passe
FI4;1️⃣;Les dépenses de l'Etat
FI4;2️⃣;Les dépenses sociales
FI4;3️⃣;Les dépenses des collectivités territoriales
FI4;4️⃣;Réduire les dépenses publiques n'est pas une priorité
FI4;🤷‍♂️;Je passe
FI5;1️⃣;Reculer l'âge de la retraite
FI5;2️⃣;Augmenter le temps de travail
FI5;3️⃣;Augmenter les impôts
FI5;4️⃣;Revoir les conditions d'attribution de certaines aides sociales
FI5;5️⃣;Autres
FI5;🤷‍♂️;Je passe
FI6;1️⃣;Oui
FI6;2️⃣;Plutôt oui
FI6;3️⃣;Plutôt non
FI6;4️⃣;Non
FI6;🤷‍♂️;Je passe
DC1;1️⃣;Une bonne chose
DC1;2️⃣;Une mauvaise chose
DC1;🤷‍♂️;Je passe
DC2;1️⃣;Oui
DC2;2️⃣;Plutôt oui
DC2;3️⃣;Plutôt non
DC2;4️⃣;Non
DC2;🤷‍♂️;Je passe
DC3;1️⃣;Oui
DC3;2️⃣;Plutôt oui
DC3;3️⃣;Plutôt non
DC3;4️⃣;Non
DC3;🤷‍♂️;Je passe
DC4;1️⃣;Oui
DC4;2️⃣;Plutôt oui
DC4;3️⃣;Plutôt non
DC4;4️⃣;Non
DC4;🤷‍♂️;Je passe
DC5;1️⃣;Oui
DC5;2️⃣;Plutôt oui
DC5;3️⃣;Plutôt non
DC5;4️⃣;Non
DC5;🤷‍♂️;Je passe
DC6;1️⃣;Oui
DC6;2️⃣;Plutôt oui
