question_id;type;theme;title
TE1;QCM;Transition écologique;🌎Q1 - Quel est aujourd’hui pour vous le problème concret le plus important dans le domaine de l’environnement ?
TE2;QCM;Transition écologique;🌎Q2 - À titre personnel, pensez-vous pouvoir contribuer à protéger l’environnement ?
TE3;QCM;Transition écologique;🌎Q3 - Pensez-vous que vos actions en faveur de l’environnement peuvent vous permettre de faire des économies ?
TE4;QCM;Transition écologique;🌎Q4 - Diriez-vous que vous connaissez les aides et dispositifs qui sont aujourd’hui proposés par l’État, les collectivités, les entreprises et les associations pour l’isolation et le chauffage des logements, et pour les déplacements ?
TE5;QCM;Transition écologique;🌎Q5 - Avez-vous pour vos déplacements quotidiens la possibilité de recourir à des solutions de mobilité alternatives à la voiture individuelle comme les transports en commun, le covoiturage, l’auto-partage, le transport à la demande, le vélo, etc. ?
TE6;QCM;Transition écologique;🌎Q6 - Quelles sont les solutions de mobilité alternatives que vous souhaiteriez pouvoir utiliser ?
TE7;QCM;Transition écologique;🌎Q7 - Pensez-vous que les taxes sur le diesel et sur l’essence peuvent permettre de modifier les comportements des utilisateurs ?
TE8;QCM;Transition écologique;🌎Q8 - À quoi les recettes liées aux taxes sur le diesel et l’essence doivent-elles avant tout servir ?
TE9;QCM;Transition écologique;🌎Q9 - Selon vous, la transition écologique doit être avant tout financée :
TE10;QCM;Transition écologique;🌎Q10 - Que faudrait-il faire pour protéger la biodiversité et le climat tout en maintenant des activités agricoles et industrielles compétitives par rapport à leurs concurrents étrangers, notamment européens ?
TE11;Libre;Transition écologique;🌎Q11 - Que faites-vous aujourd’hui pour protéger l’environnement et/ou que pourriez-vous faire ?
TE12;Libre;Transition écologique;🌎Q12 - Qu'est-ce qui pourrait vous inciter à changer vos comportements qui ne sont pas écologiques ? N'hésitez pas à donner des exemples concrets
TE13;Libre;Transition écologique;🌎Q13 - Quels sont les autres points sur lesquels vous souhaitez vous exprimer au sujet de la transition écologique ?
FI1;QCM;Impôts et dépenses publiques;💰Q1 - Pensez-vous bien connaître le fonctionnement des impôts et taxes en France ?
FI2;QCM;Impôts et dépenses publiques;💰Q2 - Afin de réduire le déficit public de la France, pensez-vous qu'il faut avant tout :
FI3;QCM;Impôts et dépenses publiques;💰Q3 - Quels impôts faut-il à vos yeux baisser en priorité ?
FI4;QCM;Impôts et dépenses publiques;💰Q4 - Afin de baisser les impôts et réduire la dette, quelles dépenses publiques faut-il réduire en priorité ?
FI5;QCM;Impôts et dépenses publiques;💰Q5 - Afin de financer les dépenses sociales, faut-il selon vous...
FI6;QCM;Impôts et dépenses publiques;💰Q6 - Seriez-vous prêt à payer un impôt pour encourager des comportements bénéfiques à la collectivité comme la fiscalité écologique ou la fiscalité sur le tabac ou l'alcool ?
FI7;Libre;Impôts et dépenses publiques;💰Q7 - Quelles sont toutes les choses qui pourraient être faites pour améliorer l'information des citoyens sur l'utilisation des impôts ?
FI8;Libre;Impôts et dépenses publiques;💰Q8 - Que faudrait-il faire pour rendre la fiscalité plus juste et plus efficace ?
FI9;Libre;Impôts et dépenses publiques;💰Q9 - Quels sont les autres points sur lesquels vous souhaitez vous exprimer au sujet des impôts et des dépenses ?
DC1;QCM;Démocratie et citoyenneté;🗣Q1 - Le non-cumul des mandats instauré en 2017 pour les parlementaires (députés et sénateurs) est :
DC2;QCM;Démocratie et citoyenneté;🗣Q2 - Selon vous, faut-il introduire une dose de proportionnelle aux élections législatives ?
DC3;QCM;Démocratie et citoyenneté;🗣Q3 - Pensez-vous qu'il serait souhaitable de réduire le nombre de parlementaires ? (députés + sénateurs = 925)
DC4;QCM;Démocratie et citoyenneté;🗣Q4 - Faut-il rendre le vote obligatoire ?
DC5;QCM;Démocratie et citoyenneté;🗣Q5 - Faut-il prendre en compte le vote blanc ?
DC6;QCM;Démocratie et citoyenneté;🗣Q6 - Faut-il avoir davantage recours au référendum au niveau national ?
DC7;QCM;Démocratie et citoyenneté;🗣Q7 - Faut-il avoir davantage recours au référendum au niveau local ?
DC8;QCM;Démocratie et citoyenneté;🗣Q8 - Connaissez-vous l'existence du référendum d'initiative partagée (le RIP est organisé à l'initiative de membres du Parlement soutenus par une partie du corps électoral) qui est applicable depuis 2015 ?
DC9;QCM;Démocratie et citoyenneté;🗣Q9 - Faut-il tirer au sort des citoyens non élus pour les associer à la décision publique ?
DC10;QCM;Démocratie et citoyenneté;🗣Q10 - Diriez-vous que l'application de la laïcité en France est aujourd'hui :
DC11;Libre;Démocratie et citoyenneté;🗣Q11 - Comment inciter les citoyens à participer davantage aux élections ? Que faudrait-il faire pour mieux associer les citoyens aux grandes orientations et à la décision publique ?
DC12;Libre;Démocratie et citoyenneté;🗣Q12 - Quelles sont les discriminations les plus répandues dont vous êtes témoin ou victime, et que faudrait-il faire pour lutter contre celles-ci et construire une société plus solidaire et tolérante ?
DC13;Libre;Démocratie et citoyenneté;🗣Q13 - Que proposez-vous pour renforcer les principes de la laïcité dans le rapport entre l'Etat et les religions de notre pays ?
II1;Libre;Démocratie et citoyenneté;🗣Q14 - Que pensez-vous de la situation en France aujourd'hui et de la politique migratoire ? Quels sont, selon vous, les critères à mettre en place pour définir la politique migratoire ?
II2;QCM;Démocratie et citoyenneté;🗣Q15 - En matière d'immigration, une fois nos obligations d'asile remplies, souhaitez-vous que nous puissions nous fixer des objectifs annuels définis par le Parlement ?
II3;Libre;Démocratie et citoyenneté;🗣Q16 - Quelles sont, selon vous, les modalités d'intégration les plus efficaces et les plus justes à mettre en place aujourd'hui dans la société ?
OE1;QCM;Organisation de l'Etat;🇫🇷Q1 - Diriez-vous que vous savez quels sont les différents échelons administratifs (Etat, collectivités territoriales comme la région, la commune, opérateur comme par exemple Pôle Emploi ou la CAF) qui gèrent les différents services publics dans votre territoire ?
